Temperament,Life Expectancy,AKC Breed Popularity,Weight,name,Height,url
"Courageous, Intelligent, Vivacious",12-14 years,Ranks 134 of 195,25-45 pounds,German Pinscher,17-20 inches,https://www.akc.org/dog-breeds/german-pinscher/
"Confident, Courageous, Smart",7-10 years,Ranks 2 of 195,"65-90 pounds (male), 50-70 pounds (female)",German Shepherd Dog,"24-26 inches (male), 22-24 inches (female)",https://www.akc.org/dog-breeds/german-shepherd-dog/
"Friendly, Smart, Willing to Please",10-12 years,Ranks 9 of 195,"55-70 pounds (male), 45-60 pounds (female)",German Shorthaired Pointer,"23-25 inches (male), 21-23 inches (female)",https://www.akc.org/dog-breeds/german-shorthaired-pointer/
"Devoted, Lively, Attentive",13-15 years,,24-26 pounds,German Spitz,12-15 inches,https://www.akc.org/dog-breeds/german-spitz/
"Affectionate, Eager, Enthusiastic",14-16 years,Ranks 63 of 195,50-70 pounds,German Wirehaired Pointer,"24-26 inches (male), minimum 22 inches (female)",https://www.akc.org/dog-breeds/german-wirehaired-pointer/
"Loyal, Alert, Trainable",12-15 years,Ranks 78 of 195,"60-85 pounds (male), 55-75 pounds (female)",Giant Schnauzer,"25.5-27.5 inches (male), 23.5-25.5 inches (female)",https://www.akc.org/dog-breeds/giant-schnauzer/
"Gentle, Spirited, Bold",10-15 years,Ranks 174 of 195,32-40 pounds,Glen of Imaal Terrier,12.5-14 inches,https://www.akc.org/dog-breeds/glen-of-imaal-terrier/
"Friendly, Intelligent, Devoted",10-12 years,Ranks 3 of 195,"65-75 pounds (male), 55-65 pounds (female)",Golden Retriever,"23-24 inches (male), 21.5-22.5 inches (female)",https://www.akc.org/dog-breeds/golden-retriever/
"Affectionate, Confident, Bold",12-13 years,Ranks 115 of 195,"55-80 pounds (male), 45-70 pounds (female)",Gordon Setter,"24-27 inches (male), 23-26 inches (female)",https://www.akc.org/dog-breeds/gordon-setter/
"Independent, Happy, Outgoing",13-15 years,Ranks 177 of 195,40-45 pounds,Grand Basset Griffon Vendéen,15.5-18 inches,https://www.akc.org/dog-breeds/grand-basset-griffon-vendeen/
"Friendly, Patient, Dependable",7-10 years,Ranks 16 of 195,"140-175 pounds (male), 110-140 pounds (female)",Great Dane,"30-32 inches (male), 28-30 inches (female)",https://www.akc.org/dog-breeds/great-dane/
"Smart, Patient, Calm",10-12 years,Ranks 66 of 195,"100 pounds & up (male), 85 pounds & up (female)",Great Pyrenees,"27-32 inches (male), 25-29 inches (female)",https://www.akc.org/dog-breeds/great-pyrenees/
"Faithful, Family-Oriented, Dependable",8-11 years,Ranks 74 of 195,"115-140 pounds (male), 85-110 pounds (female)",Greater Swiss Mountain Dog,"25.5-28.5 inches (male), 23.5-27 inches (female)",https://www.akc.org/dog-breeds/greater-swiss-mountain-dog/
"Gentle, Independent, Noble",10-13 years,Ranks 145 of 195,"65-70 pounds (male), 60-65 pounds (female)",Greyhound,"28-30 inches (male), 27-28 inches (female)",https://www.akc.org/dog-breeds/greyhound/
"Agile, Versatile, Regal",14-17 years,,40-75 pounds,Hamiltonstovare,19-24 inches,https://www.akc.org/dog-breeds/hamiltonstovare/
"Loyal, Independent, Calm",10-14 years,,79-99 pounds,Hanoverian Scenthound,19-21 inches,https://www.akc.org/dog-breeds/hanoverian-scenthound/
"Friendly, Outgoing, People-Oriented",12-15 years,Ranks 189 of 195,45-60 pounds,Harrier,19-21 inches,https://www.akc.org/dog-breeds/harrier/
"Intelligent, Outgoing, Funny",14-16 years,Ranks 24 of 195,7-13 pounds,Havanese,8.5-11.5 inches,https://www.akc.org/dog-breeds/havanese/
"Dignified, Alert, Devoted",12-15 years,,44-66 pounds,Hokkaido,18-20 inches,https://www.akc.org/dog-breeds/hokkaido/
"Alert, Faithful, Intelligent",10-14 years,,65-90 pounds,Hovawart,23-28 inches,https://www.akc.org/dog-breeds/hovawart/
"Family-Oriented, Even-Tempered, Polite",11-14 years,Ranks 152 of 195,"50 pounds (male), 45 pounds (female)",Ibizan Hound,"23.5-27.5 inches (male), 22.5-26 inches (female)",https://www.akc.org/dog-breeds/ibizan-hound/
"Friendly, Playful, Inquisitive",12-14 years,Ranks 155 of 195,"30 pounds (male), 25 pounds (female)",Icelandic Sheepdog,"18 inches (male), 16.5 inches (female)",https://www.akc.org/dog-breeds/icelandic-sheepdog/
"Courageous, Spirited, Determined",11-15 years,Ranks 146 of 195,"42-60 pounds (male), 35-50 pounds (female)",Irish Red and White Setter,"24.5-26 inches (male), 22.5-24 inches (female)",https://www.akc.org/dog-breeds/irish-red-and-white-setter/
"Active, Outgoing, Sweet-Natured",12-15 years,Ranks 77 of 195,"70 pounds (male), 60 pounds (female)",Irish Setter,"27 inches (male), 25 inches (female)",https://www.akc.org/dog-breeds/irish-setter/
"Bold, Dashing, Tenderhearted",13-15 years,Ranks 116 of 195,"27 pounds (male), 25 pounds (female)",Irish Terrier,18 inches,https://www.akc.org/dog-breeds/irish-terrier/
"Playful, Hardworking, Brave",12-13 years,Ranks 159 of 195,"55-68 pounds (male), 45-58 pounds (female)",Irish Water Spaniel,"22-24 inches (male), 21-23 inches (female)",https://www.akc.org/dog-breeds/irish-water-spaniel/
"Courageous, Dignified, Calm",6-8 years,Ranks 76 of 195,"120 pounds (male), 105 pounds (female)",Irish Wolfhound,"32 inches minimum (male), 30 inches minimum (female)",https://www.akc.org/dog-breeds/irish-wolfhound/
"Playful, Alert, Sensitive",14-15 years,Ranks 73 of 195,7-14 pounds,Italian Greyhound,13-15 inches,https://www.akc.org/dog-breeds/italian-greyhound/
"Courageous, Intelligent, Hardworking",10-12 years,,17-22 pounds,Jagdterrier,13-16 inches,https://www.akc.org/dog-breeds/jagdterrier/
"Charming, Noble, Loving",10-12 years,Ranks 104 of 195,7-11 pounds,Japanese Chin,8-11 inches,https://www.akc.org/dog-breeds/japanese-chin/
"Loyal, Playful, Smart",12-14 years,,10-25 pounds,Japanese Spitz,12-15 inches,https://www.akc.org/dog-breeds/japanese-spitz/
"Alert, Intelligent, Bold",~14 years,,30-50 pounds,Jindo,18-22 inches,https://www.akc.org/dog-breeds/jindo/
"Loyal, Agile, Keen",12-15 years,,20-40 pounds,Kai Ken,15.5-19.5 inches,https://www.akc.org/dog-breeds/kai-ken/
"Loyal, Independent, Courageous",11-13 years,,44-49 pounds,Karelian Bear Dog,19-23.5 inches,https://www.akc.org/dog-breeds/karelian-bear-dog/
"Friendly, Lively, Outgoing",12-15 years,Ranks 95 of 195,35-45 pounds,Keeshond,"18 inches (male), 17 inches (female)",https://www.akc.org/dog-breeds/keeshond/
"Smart, Alert, People-Oriented",12-15 years,Ranks 129 of 195,"33-40 pounds (male), females weigh slightly less than males",Kerry Blue Terrier,"18-19.5 inches (male), 17.5-19 inches (female)",https://www.akc.org/dog-breeds/kerry-blue-terrier/
"Faithful, Noble, Docile",11-13 years,,30-60 pounds,Kishu Ken,17-22 inches,https://www.akc.org/dog-breeds/kishu-ken/
"Loyal, Dignified, Brave",10-12 years,Ranks 173 of 195,"100 pounds or more (male), 80 pounds or more (female)",Komondor,"27.5 minimum inches (male), 25.5 minimum inches (female)",https://www.akc.org/dog-breeds/komondor/
"Intelligent, Active, Sensitive",13-15 years,,20-35 pounds,Kromfohrlander,15-18 inches,https://www.akc.org/dog-breeds/kromfohrlander/
"Loyal, Fearless, Sweet",10-12 years,Ranks 163 of 195,"100-115 pounds (male), 70-90 pounds (female)",Kuvasz,"28-30 inches (male), 26-28 inches (female)",https://www.akc.org/dog-breeds/kuvasz/
"Friendly, Active, Outgoing",10-12 years,Ranks 1 of 195,"65-80 pounds (male), 55-70 pounds (female)",Labrador Retriever,"22.5-24.5 inches (male), 21.5-23.5 inches (female)",https://www.akc.org/dog-breeds/labrador-retriever/
"Affectionate, Keen, Undemanding",15-17 years,Ranks 99 of 195,"28.5-35 pounds (male), 24-31 pounds (female)",Lagotto Romagnolo,"17-19 inches (male), 16-18 inches (female)",https://www.akc.org/dog-breeds/lagotto-romagnolo/
"Friendly, Confident, Bold",12-15 years,Ranks 147 of 195,"17 pounds (male), slightly smaller (female)",Lakeland Terrier,"14-15 inches (male), slightly smaller (female)",https://www.akc.org/dog-breeds/lakeland-terrier/
"Affectionate, Versatile, Intelligent",12-15 years,,9-17 pounds,Lancashire Heeler,10-12 inches,https://www.akc.org/dog-breeds/lancashire-heeler/
"Friendly, Energetic, Intelligent",10-14 years,,70 pounds,Lapponian Herder,18-20 inches,https://www.akc.org/dog-breeds/lapponian-herder/
"Friendly, Gentle, Playful",9 years,Ranks 93 of 195,"110-170 pounds (male), 90-140 pounds (female)",Leonberger,"28-31.5 inches (male), 25.5-29.5 inches (female)",https://www.akc.org/dog-breeds/leonberger/
"Confident, Smart, Comical",12-15 years,Ranks 71 of 195,12-18 pounds,Lhasa Apso,"10-11 inches (male), slightly smaller (female)",https://www.akc.org/dog-breeds/lhasa-apso/
"Affectionate, Outgoing, Positive",15+ years,Ranks 168 of 195,10-15 pounds,Löwchen,11-13 inches,https://www.akc.org/dog-breeds/lowchen/
"Gentle, Playful, Charming",12-15 years,Ranks 37 of 195,under 7 pounds,Maltese,7-9 inches,https://www.akc.org/dog-breeds/maltese/
"Spirited, Bright, Keenly Observant",15-17 years,Ranks 133 of 195,12-22 pounds,Manchester Terrier (Standard),15-16 inches,https://www.akc.org/dog-breeds/manchester-terrier-standard/
"Agile, Spirited, Intelligent",15-17 years,Ranks 133 of 195,under 12 pounds,Manchester Terrier (Toy),10-12 inches,https://www.akc.org/dog-breeds/manchester-terrier-toy/
"Courageous, Dignified, Good-Natured",6-10 years,Ranks 29 of 195,"160-230 pounds (male), 120-170 pounds (female)",Mastiff,"30 inches & up (male), 27.5 inches & up (female)",https://www.akc.org/dog-breeds/mastiff/
"Good-Natured, Intelligent, Devoted",12-13 years,Ranks 34 of 195,20-40 pounds,Miniature American Shepherd,"14-18 inches (male), 13-17 inches (female)",https://www.akc.org/dog-breeds/miniature-american-shepherd/
"Upbeat, Mischievous, Comical",11-13 years,Ranks 110 of 195,18-28 pounds,Miniature Bull Terrier,10-14 inches,https://www.akc.org/dog-breeds/miniature-bull-terrier/
"Fearless, Fun-Loving, Proud",12-16 years,Ranks 70 of 195,8-10 pounds,Miniature Pinscher,10-12.5 inches,https://www.akc.org/dog-breeds/miniature-pinscher/
"Friendly, Smart, Obedient",12-15 years,Ranks 19 of 195,11-20 pounds,Miniature Schnauzer,12-14 inches,https://www.akc.org/dog-breeds/miniature-schnauzer/
"Intelligent, Strong-Willed, Reserved with Strangers",10-13 years,,30-60 pounds,Mountain Cur,16-26 inches,https://www.akc.org/dog-breeds/mountain-cur/
"Loyal, Intelligent, Active",12-14 years,,18-29 pounds,Mudi,15-18.5 inches,https://www.akc.org/dog-breeds/mudi/
"Loyal, Dignified, Watchful",7-9 years,Ranks 102 of 195,"150 pounds (male), 110 pounds (female)",Neapolitan Mastiff,"26-31 inches (male), 24-29 inches (female)",https://www.akc.org/dog-breeds/neapolitan-mastiff/
"Friendly, Alert, Quick",12-15 years,Ranks 150 of 195,20-30 pounds,Nederlandse Kooikerhondje,"15-17 inches (male), 14-16 inches (female)",https://www.akc.org/dog-breeds/nederlandse-kooikerhondje/
"Sweet, Patient, Devoted",9-10 years,Ranks 40 of 195,"130-150 pounds (male), 100-120 pounds (female)",Newfoundland,"28 inches (male), 26 inches (female)",https://www.akc.org/dog-breeds/newfoundland/
"Fearless, Alert, Fun-Loving",12-16 years,Ranks 126 of 195,11-12 pounds,Norfolk Terrier,9-10 inches,https://www.akc.org/dog-breeds/norfolk-terrier/
"Fearless, Agile, Attentive",14-17 years,,20-30 pounds,Norrbottenspets,16.5-18 inches,https://www.akc.org/dog-breeds/norrbottenspets/
"Confident, Smart, Perceptive",12-15 years,Ranks 165 of 195,"31-40 pounds (male), 26-35 pounds (female)",Norwegian Buhund,"17-18.5 inches (male), 16-17.5 inches (female)",https://www.akc.org/dog-breeds/norwegian-buhund/
"Friendly, Confident, Dependable",12-15 years,Ranks 97 of 195,"55 pounds (male), 48 pounds (female)",Norwegian Elkhound,"20.5 inches (male), 19.5 inches (female)",https://www.akc.org/dog-breeds/norwegian-elkhound/
"Loyal, Energetic, Alert",12-15 years,Ranks 191 of 195,20-30 pounds,Norwegian Lundehund,"13-15 inches (male), 12-14 inches (female)",https://www.akc.org/dog-breeds/norwegian-lundehund/
"Affectionate, Alert, Curious",12-15 years,Ranks 108 of 195,12 pounds,Norwich Terrier,10 inches,https://www.akc.org/dog-breeds/norwich-terrier/
"Affectionate, Intelligent, Outgoing",12-14 years,Ranks 83 of 195,35-50 pounds,Nova Scotia Duck Tolling Retriever,"18-21 inches (male), 17-20 inches (female)",https://www.akc.org/dog-breeds/nova-scotia-duck-tolling-retriever/
"Adaptable, Gentle, Smart",10-12 years,Ranks 72 of 195,60-100 pounds,Old English Sheepdog,"22 inches & up (male), 21 inches & up (female)",https://www.akc.org/dog-breeds/old-english-sheepdog/
"Even-Tempered, Amiable, Boisterous",10-13 years,Ranks 182 of 195,"115 pounds (male), 80 pounds (female)",Otterhound,"27 inches (male), 24 inches (female)",https://www.akc.org/dog-breeds/otterhound/
"Friendly, Alert, Happy",14-16 years,Ranks 54 of 195,5-10 pounds,Papillon,8-11 inches,https://www.akc.org/dog-breeds/papillon/
"Friendly, Clever, Athletic",13-15 years,Ranks 117 of 195,13-17 pounds,Parson Russell Terrier,"14 inches (male), 13 inches (female)",https://www.akc.org/dog-breeds/parson-russell-terrier/
"Affectionate, Loyal, Regal in Manner",12-14 years,Ranks 92 of 195,up to 14 pounds,Pekingese,6-9 inches,https://www.akc.org/dog-breeds/pekingese/
"Affectionate, Smart, Alert",12-13 years,Ranks 13 of 195,"up to 30 pounds (male), up to 28 pounds (female)",Pembroke Welsh Corgi,10-12 inches,https://www.akc.org/dog-breeds/pembroke-welsh-corgi/
"Confident, Calm, Strong-Willed",9-11 years,,84-110 pounds,Perro de Presa Canario,22-26 inches,https://www.akc.org/dog-breeds/perro-de-presa-canario/
"Affectionate, Loyal, Noble",12-14 years,,8.5-17.5 pounds (small) 17.5-26.5 pounds (medium) 26.5-55 pounds (large),Peruvian Inca Orchid,9.75-15.75 inches (small) 15.75-19.75 inches (medium) 19.75-25.75 inches (large),https://www.akc.org/dog-breeds/peruvian-inca-orchid/
"Alert, Happy, Vivacious",12-14 years,Ranks 156 of 195,25-40 pounds,Petit Basset Griffon Vendéen,13-15 inches,https://www.akc.org/dog-breeds/petit-basset-griffon-vendeen/
"Friendly, Smart, Noble",12-14 years,Ranks 172 of 195,45-55 pounds,Pharaoh Hound,"23-25 inches (male), 21-24 inches (female)",https://www.akc.org/dog-breeds/pharaoh-hound/
"Loyal, Alert, Intelligent",12-14 years,Ranks 171 of 195,"50-60 pounds (male), 40-55 pounds (female)",Plott Hound,"20-25 inches (male), 20-23 inches (female)",https://www.akc.org/dog-breeds/plott-hound/
"Loyal, Hardworking, Even-Tempered",12-17 years,Ranks 114 of 195,"55-75 pounds (male), 45-65 pounds (female)",Pointer,"25-28 inches (male), 23-26 inches (female)",https://www.akc.org/dog-breeds/pointer/
"Confident, Clever, Lively",12-14 years,Ranks 170 of 195,30-50 pounds,Polish Lowland Sheepdog,"18-20 inches (male), 17-19 inches (female)",https://www.akc.org/dog-breeds/polish-lowland-sheepdog/
"Inquisitive, Bold, Lively",12-16 years,Ranks 23 of 195,3-7 pounds,Pomeranian,6-7 inches,https://www.akc.org/dog-breeds/pomeranian/
"Active, Proud, Very Smart",10-18 years,Ranks 7 of 195,10-15 pounds,Poodle (Miniature),10-15 inches,https://www.akc.org/dog-breeds/poodle-miniature/
"Active, Proud, Very Smart",10-18 years,Ranks 7 of 195,"60-70 pounds (male), 40-50 pounds (female)",Poodle (Standard),Over 15 inches (standard),https://www.akc.org/dog-breeds/poodle-standard/
"Agile, Intelligent, Self-Confident",10-18 years,Ranks 7 of 195,4-6 pounds,Poodle (Toy),No more than 10 inches,https://www.akc.org/dog-breeds/poodle-toy/
"Independent, Energetic, Powerful",12-13 years,,55-62 pounds,Porcelaine,22-23 inches,https://www.akc.org/dog-breeds/porcelaine/
"Independent, Alert, Intelligent",10-12 years,,44-66 pounds (large) 35-44 pounds (medium),Portuguese Podengo,22-28 inches (large) 16-22 inches (medium),https://www.akc.org/dog-breeds/portuguese-podengo/
"Playful, Charming, Lively",12-15 years,Ranks 154 of 195,9-13 pounds,Portuguese Podengo Pequeno,8-12 inches,https://www.akc.org/dog-breeds/portuguese-podengo-pequeno/
"Affectionate, Smart, Energetic",~14 years,,35-59 pounds,Portuguese Pointer,20.5-22 inches,https://www.akc.org/dog-breeds/portuguese-pointer/
"Intelligent, Devoted, Lively",12-13 years,,37.5-59 pounds,Portuguese Sheepdog,16.5-21.5 inches,https://www.akc.org/dog-breeds/portuguese-sheepdog/
"Affectionate, Adventurous, Athletic",11-13 years,Ranks 50 of 195,"42-60 pounds (male), 35-50 pounds (female)",Portuguese Water Dog,"20-23 inches (male), 17-21 inches (female)",https://www.akc.org/dog-breeds/portuguese-water-dog/
"Friendly, Smart, Willing to Please",~14 years,,45-70 pounds,Pudelpointer,22-26 inches,https://www.akc.org/dog-breeds/pudelpointer/
"Charming, Mischievous, Loving",13-15 years,Ranks 28 of 195,14-18 pounds,Pug,10-13 inches,https://www.akc.org/dog-breeds/pug/
"Loyal, Smart, Home-Loving",10-15 years,Ranks 160 of 195,25-35 pounds,Puli,"17 inches (male), 16 inches (female)",https://www.akc.org/dog-breeds/puli/
"Energetic, Lively, Ready to Work",12-13 years,Ranks 151 of 195,"27-29 pounds (male), 22-24 pounds (female)",Pumi,"16-18.5 inches (male), 15-17.5 inches (female)",https://www.akc.org/dog-breeds/pumi/
"Gentle, Brave, Noble",10-13 years,,120-240 pounds,Pyrenean Mastiff,"30-31 inches (male), 25-30 inches (female)",https://www.akc.org/dog-breeds/pyrenean-mastiff/
"Affectionate, Active, Enthusiastic",Late teens,Ranks 181 of 195,15-30 pounds,Pyrenean Shepherd,"15.5-18.5 inches (male rough-faced), 15-18 inches (female rough-faced), 15.5-21 inches (male smooth-faced), 15.5-20.5 inches (female smooth-faced)",https://www.akc.org/dog-breeds/pyrenean-shepherd/
"Confident, Calm, Powerful",12-14 years,,77-132 pounds,Rafeiro do Alentejo,25-29 inches,https://www.akc.org/dog-breeds/rafeiro-do-alentejo/
"Friendly, Inquisitive, Lovable",12-18 years,Ranks 86 of 195,10-25 pounds,Rat Terrier,"10-13 inches (miniature), 13-18 inches (standard)",https://www.akc.org/dog-breeds/rat-terrier/
"Even-Tempered, Amiable, Eager to Please",12-15 years,Ranks 142 of 195,45-70 pounds,Redbone Coonhound,"22-27 inches (male), 21-26 inches (female)",https://www.akc.org/dog-breeds/redbone-coonhound/
"Affectionate, Dignified, Even-Tempered",~10 years,Ranks 41 of 195,"85 pounds (male), 70 pounds (female)",Rhodesian Ridgeback,"25-27 inches (male), 24-26 inches (female)",https://www.akc.org/dog-breeds/rhodesian-ridgeback/
"Loyal, Independent, Confident Guardian",12-14 years,,100-130 lbs,Romanian Mioritic Shepherd Dog,"27-29 inches (males), 22.5-28 inches (females)",https://www.akc.org/dog-breeds/romanian-mioritic-shepherd-dog/
"Loyal, Loving, Confident Guardian",9-10 years,Ranks 8 of 195,"95-135 pounds (male), 80-100 pounds (female)",Rottweiler,"24-27 inches (male), 22-25 inches (female)",https://www.akc.org/dog-breeds/rottweiler/
"Alert, Inquisitive, Lively",12-14 years,Ranks 82 of 195,9-15 pounds,Russell Terrier,10-12 inches,https://www.akc.org/dog-breeds/russell-terrier/
"Loyal, Smart, Charming",12-14+ years,,Up to 6.5 pounds,Russian Toy,8-11 inches,https://www.akc.org/dog-breeds/russian-toy/
"Playful, Charming, Inquisitive",12-16 years,,4.5-11 pounds,Russian Tsvetnaya Bolonka,9-10 inches,https://www.akc.org/dog-breeds/russian-tsvetnaya-bolonka/
"Playful, Charming, Inquisitive",8-10 years,Ranks 48 of 195,"140-180 pounds (male), 120-140 pounds (female)",Saint Bernard,"28-30 inches (males), 26-28 inches (female)",https://www.akc.org/dog-breeds/st-bernard/
"Gentle, Dignified, Independent-Minded",10-17 years,Ranks 120 of 195,40-65 pounds,Saluki,"23-28 inches (male), considerably smaller (female)",https://www.akc.org/dog-breeds/saluki/
